created_month,all_platforms,facebook,instagram,twitter,youtube
2020-01-01,0.0,0.0,0.0,0.0,0.0
2020-02-01,-0.0331,-0.0115,-0.0863,-0.0845,-0.0506
2020-03-01,0.1094,0.062,0.2324,0.2406,0.2148
2020-04-01,0.011,0.0727,-0.1364,-0.1049,0.0893
2020-05-01,-0.0235,-0.0117,-0.0555,-0.0686,-0.0198
2020-06-01,0.0036,-0.0193,0.0872,-0.0082,-0.1131
2020-07-01,0.0654,0.0516,0.1167,0.0563,-0.2281
2020-08-01,-0.0239,-0.0025,-0.0618,-0.2233,-0.0159
2020-09-01,-0.0919,-0.1059,-0.0591,0.0017,-0.0577
2020-10-01,0.1811,0.2269,0.0099,0.5787,-0.0447
2020-11-01,-0.0537,-0.0479,0.0079,-0.5499,-0.0295
2020-12-01,-0.0082,-0.0084,-0.0071,0.0212,-0.1685
