created_month,all_platforms,facebook,instagram,twitter,youtube
2020-01-01,439043965.0,310342224.0,110807109.0,15083673.0,2810959.0
2020-02-01,424502928.0,306785686.0,101239344.0,13809240.0,2668658.0
2020-03-01,470935336.0,325793365.0,124768971.0,17131129.0,3241871.0
2020-04-01,476102381.0,349487562.0,107748551.0,15334786.0,3531482.0
2020-05-01,464890348.0,345382412.0,101764412.0,14282120.0,3461404.0
2020-06-01,466578914.0,338701622.0,110642269.0,14164988.0,3070035.0
2020-07-01,497073491.0,356185640.0,123555710.0,14962329.0,2369812.0
2020-08-01,485171014.0,355293759.0,115923670.0,11621508.0,2332077.0
2020-09-01,440590924.0,317681175.0,109070636.0,11641690.0,2197423.0
2020-10-01,520400681.0,389776087.0,110146368.0,18379115.0,2099111.0
2020-11-01,492437806.0,371109442.0,111018578.0,8272512.0,2037274.0
2020-12-01,488381584.0,368005509.0,110234362.0,8447804.0,1693909.0
