day_name,month_name,created_date,total_accounts,daily_posts,last_daily_posts,daily_post_change,daily_post_change_rate,cumulative_daily_posts,post_growth_rate,daily_engagements,last_daily_engagements,daily_engagement_change,daily_engagement_change_rate,cumulative_daily_engagements,engagement_growth_rate,source
Wednesday,January,2020-01-01,681,3656,0.0,0.0,0.0,3656,0.0,5755463,0.0,0.0,0.0,5755463,0.0,facebook
Thursday,January,2020-01-02,661,4943,3656.0,1287.0,0.352,8599,1.352,7332389,5755463.0,1576926.0,0.274,13087852,1.274,facebook
Friday,January,2020-01-03,676,4834,4943.0,-109.0,-0.0221,13433,0.5622,6812504,7332389.0,-519885.0,-0.0709,19900356,0.5205,facebook
Saturday,January,2020-01-04,611,4467,4834.0,-367.0,-0.0759,17900,0.3325,7372141,6812504.0,559637.0,0.0821,27272497,0.3705,facebook
Sunday,January,2020-01-05,615,4127,4467.0,-340.0,-0.0761,22027,0.2306,6504860,7372141.0,-867281.0,-0.1176,33777357,0.2385,facebook
Monday,January,2020-01-06,704,5832,4127.0,1705.0,0.4131,27859,0.2648,6796464,6504860.0,291604.0,0.0448,40573821,0.2012,facebook
Tuesday,January,2020-01-07,697,5860,5832.0,28.0,0.0048,33719,0.2103,6792592,6796464.0,-3872.0,-0.0006,47366413,0.1674,facebook
Wednesday,January,2020-01-08,727,5796,5860.0,-64.0,-0.0109,39515,0.1719,5733330,6792592.0,-1059262.0,-0.1559,53099743,0.121,facebook
Thursday,January,2020-01-09,722,5952,5796.0,156.0,0.0269,45467,0.1506,7203252,5733330.0,1469922.0,0.2564,60302995,0.1357,facebook
Friday,January,2020-01-10,722,5756,5952.0,-196.0,-0.0329,51223,0.1266,6637828,7203252.0,-565424.0,-0.0785,66940823,0.1101,facebook
Saturday,January,2020-01-11,656,4654,5756.0,-1102.0,-0.1915,55877,0.0909,6862180,6637828.0,224352.0,0.0338,73803003,0.1025,facebook
Sunday,January,2020-01-12,597,3846,4654.0,-808.0,-0.1736,59723,0.0688,5390008,6862180.0,-1472172.0,-0.2145,79193011,0.073,facebook
Monday,January,2020-01-13,705,5554,3846.0,1708.0,0.4441,65277,0.093,6752191,5390008.0,1362183.0,0.2527,85945202,0.0853,facebook
Tuesday,January,2020-01-14,701,5284,5554.0,-270.0,-0.0486,70561,0.0809,6468169,6752191.0,-284022.0,-0.0421,92413371,0.0753,facebook
Wednesday,January,2020-01-15,717,5707,5284.0,423.0,0.0801,76268,0.0809,6328895,6468169.0,-139274.0,-0.0215,98742266,0.0685,facebook
Thursday,January,2020-01-16,730,5698,5707.0,-9.0,-0.0016,81966,0.0747,6759918,6328895.0,431023.0,0.0681,105502184,0.0685,facebook
Friday,January,2020-01-17,726,6105,5698.0,407.0,0.0714,88071,0.0745,6778452,6759918.0,18534.0,0.0027,112280636,0.0642,facebook
Saturday,January,2020-01-18,657,4771,6105.0,-1334.0,-0.2185,92842,0.0542,7447357,6778452.0,668905.0,0.0987,119727993,0.0663,facebook
Sunday,January,2020-01-19,624,4176,4771.0,-595.0,-0.1247,97018,0.045,5085416,7447357.0,-2361941.0,-0.3172,124813409,0.0425,facebook
Monday,January,2020-01-20,690,5287,4176.0,1111.0,0.266,102305,0.0545,6765703,5085416.0,1680287.0,0.3304,131579112,0.0542,facebook
Tuesday,January,2020-01-21,705,5649,5287.0,362.0,0.0685,107954,0.0552,7321846,6765703.0,556143.0,0.0822,138900958,0.0556,facebook
Wednesday,January,2020-01-22,719,5823,5649.0,174.0,0.0308,113777,0.0539,6667793,7321846.0,-654053.0,-0.0893,145568751,0.048,facebook
Thursday,January,2020-01-23,737,6297,5823.0,474.0,0.0814,120074,0.0553,7409813,6667793.0,742020.0,0.1113,152978564,0.0509,facebook
Friday,January,2020-01-24,719,6056,6297.0,-241.0,-0.0383,126130,0.0504,6441098,7409813.0,-968715.0,-0.1307,159419662,0.0421,facebook
Saturday,January,2020-01-25,659,5087,6056.0,-969.0,-0.16,131217,0.0403,6365189,6441098.0,-75909.0,-0.0118,165784851,0.0399,facebook
Sunday,January,2020-01-26,626,4808,5087.0,-279.0,-0.0548,136025,0.0366,5632260,6365189.0,-732929.0,-0.1151,171417111,0.034,facebook
Monday,January,2020-01-27,713,5770,4808.0,962.0,0.2001,141795,0.0424,6741593,5632260.0,1109333.0,0.197,178158704,0.0393,facebook
Tuesday,January,2020-01-28,701,5488,5770.0,-282.0,-0.0489,147283,0.0387,7082486,6741593.0,340893.0,0.0506,185241190,0.0398,facebook
Wednesday,January,2020-01-29,729,6197,5488.0,709.0,0.1292,153480,0.0421,6758042,7082486.0,-324444.0,-0.0458,191999232,0.0365,facebook
Thursday,January,2020-01-30,710,6841,6197.0,644.0,0.1039,160321,0.0446,7106186,6758042.0,348144.0,0.0515,199105418,0.037,facebook
Friday,January,2020-01-31,723,6473,6841.0,-368.0,-0.0538,166794,0.0404,6632271,7106186.0,-473915.0,-0.0667,205737689,0.0333,facebook
Saturday,February,2020-02-01,698,5418,6473.0,-1055.0,-0.163,172212,0.0325,6459990,6632271.0,-172281.0,-0.026,212197679,0.0314,facebook
Sunday,February,2020-02-02,644,4780,5418.0,-638.0,-0.1178,176992,0.0278,6556678,6459990.0,96688.0,0.015,218754357,0.0309,facebook
Monday,February,2020-02-03,723,6032,4780.0,1252.0,0.2619,183024,0.0341,7859963,6556678.0,1303285.0,0.1988,226614320,0.0359,facebook
Tuesday,February,2020-02-04,721,5869,6032.0,-163.0,-0.027,188893,0.0321,7427067,7859963.0,-432896.0,-0.0551,234041387,0.0328,facebook
Wednesday,February,2020-02-05,741,5869,5869.0,0.0,0.0,194762,0.0311,6883469,7427067.0,-543598.0,-0.0732,240924856,0.0294,facebook
Thursday,February,2020-02-06,718,6036,5869.0,167.0,0.0285,200798,0.031,6734958,6883469.0,-148511.0,-0.0216,247659814,0.028,facebook
Friday,February,2020-02-07,721,6399,6036.0,363.0,0.0601,207197,0.0319,6886272,6734958.0,151314.0,0.0225,254546086,0.0278,facebook
Saturday,February,2020-02-08,664,4961,6399.0,-1438.0,-0.2247,212158,0.0239,6620491,6886272.0,-265781.0,-0.0386,261166577,0.026,facebook
Sunday,February,2020-02-09,631,4292,4961.0,-669.0,-0.1349,216450,0.0202,6060762,6620491.0,-559729.0,-0.0845,267227339,0.0232,facebook
Monday,February,2020-02-10,659,5297,4292.0,1005.0,0.2342,221747,0.0245,6953312,6060762.0,892550.0,0.1473,274180651,0.026,facebook
Tuesday,February,2020-02-11,728,5969,5297.0,672.0,0.1269,227716,0.0269,7195091,6953312.0,241779.0,0.0348,281375742,0.0262,facebook
Wednesday,February,2020-02-12,737,6404,5969.0,435.0,0.0729,234120,0.0281,7349295,7195091.0,154204.0,0.0214,288725037,0.0261,facebook
Thursday,February,2020-02-13,780,7465,6404.0,1061.0,0.1657,241585,0.0319,7618483,7349295.0,269188.0,0.0366,296343520,0.0264,facebook
Friday,February,2020-02-14,781,7207,7465.0,-258.0,-0.0346,248792,0.0298,8733239,7618483.0,1114756.0,0.1463,305076759,0.0295,facebook
Saturday,February,2020-02-15,674,5198,7207.0,-2009.0,-0.2788,253990,0.0209,6235560,8733239.0,-2497679.0,-0.286,311312319,0.0204,facebook
Sunday,February,2020-02-16,640,5118,5198.0,-80.0,-0.0154,259108,0.0202,7254132,6235560.0,1018572.0,0.1633,318566451,0.0233,facebook
Monday,February,2020-02-17,738,6235,5118.0,1117.0,0.2182,265343,0.0241,7009562,7254132.0,-244570.0,-0.0337,325576013,0.022,facebook
Tuesday,February,2020-02-18,747,5636,6235.0,-599.0,-0.0961,270979,0.0212,7268980,7009562.0,259418.0,0.037,332844993,0.0223,facebook
Wednesday,February,2020-02-19,726,5956,5636.0,320.0,0.0568,276935,0.022,7756856,7268980.0,487876.0,0.0671,340601849,0.0233,facebook
Thursday,February,2020-02-20,742,6567,5956.0,611.0,0.1026,283502,0.0237,8408445,7756856.0,651589.0,0.084,349010294,0.0247,facebook
Friday,February,2020-02-21,724,5635,6567.0,-932.0,-0.1419,289137,0.0199,7015313,8408445.0,-1393132.0,-0.1657,356025607,0.0201,facebook
Saturday,February,2020-02-22,631,4611,5635.0,-1024.0,-0.1817,293748,0.0159,5821717,7015313.0,-1193596.0,-0.1701,361847324,0.0164,facebook
Sunday,February,2020-02-23,618,4470,4611.0,-141.0,-0.0306,298218,0.0152,6093921,5821717.0,272204.0,0.0468,367941245,0.0168,facebook
Monday,February,2020-02-24,723,6352,4470.0,1882.0,0.421,304570,0.0213,7488801,6093921.0,1394880.0,0.2289,375430046,0.0204,facebook
