month_name,created_month,total_accounts,monthly_posts,last_month_posts,monthly_post_change,monthly_post_change_rate,cumulative_monthly_posts,post_growth_rate,monthly_engagements,last_month_engagements,monthly_engagement_change,monthly_engagement_change_rate,cumulative_monthly_engagements,engagement_growth_rate,source
January,2020-01-01,1131,166794,0.0,0.0,0.0,166794,0.0,205737689,0.0,0.0,0.0,205737689,0.0,facebook
February,2020-02-01,1140,166982,166794.0,188.0,0.0011,333776,1.0011,206117056,205737689.0,379367.0,0.0018,411854745,1.0018,facebook
March,2020-03-01,1149,172972,166982.0,5990.0,0.0359,506748,0.5182,211191316,206117056.0,5074260.0,0.0246,623046061,0.5128,facebook
April,2020-04-01,1151,165426,172972.0,-7546.0,-0.0436,672174,0.3264,233268286,211191316.0,22076970.0,0.1045,856314347,0.3744,facebook
May,2020-05-01,1158,170326,165426.0,4900.0,0.0296,842500,0.2534,241052233,233268286.0,7783947.0,0.0334,1097366580,0.2815,facebook
June,2020-06-01,1170,173082,170326.0,2756.0,0.0162,1015582,0.2054,235867870,241052233.0,-5184363.0,-0.0215,1333234450,0.2149,facebook
July,2020-07-01,1183,196216,173082.0,23134.0,0.1337,1211798,0.1932,241301664,235867870.0,5433794.0,0.023,1574536114,0.181,facebook
August,2020-08-01,1174,196288,196216.0,72.0,0.0004,1408086,0.162,243268149,241301664.0,1966485.0,0.0081,1817804263,0.1545,facebook
September,2020-09-01,1179,189254,196288.0,-7034.0,-0.0358,1597340,0.1344,214019972,243268149.0,-29248177.0,-0.1202,2031824235,0.1177,facebook
October,2020-10-01,1187,203589,189254.0,14335.0,0.0757,1800929,0.1275,270904451,214019972.0,56884479.0,0.2658,2302728686,0.1333,facebook
November,2020-11-01,1192,212544,203589.0,8955.0,0.044,2013473,0.118,264600173,270904451.0,-6304278.0,-0.0233,2567328859,0.1149,facebook
December,2020-12-01,1213,210900,212544.0,-1644.0,-0.0077,2224373,0.1047,262011949,264600173.0,-2588224.0,-0.0098,2829340808,0.1021,facebook
January,2020-01-01,848,25554,0.0,0.0,0.0,25554,0.0,106951689,0.0,0.0,0.0,106951689,0.0,ig
February,2020-02-01,854,24715,25554.0,-839.0,-0.0328,50269,0.9672,97727436,106951689.0,-9224253.0,-0.0862,204679125,0.9138,ig
March,2020-03-01,864,26320,24715.0,1605.0,0.0649,76589,0.5236,122012441,97727436.0,24285005.0,0.2485,326691566,0.5961,ig
April,2020-04-01,824,26415,26320.0,95.0,0.0036,103004,0.3449,106583736,122012441.0,-15428705.0,-0.1265,433275302,0.3263,ig
May,2020-05-01,848,26569,26415.0,154.0,0.0058,129573,0.2579,100948109,106583736.0,-5635627.0,-0.0529,534223411,0.233,ig
June,2020-06-01,843,25617,26569.0,-952.0,-0.0358,155190,0.1977,109948111,100948109.0,9000002.0,0.0892,644171522,0.2058,ig
July,2020-07-01,837,25809,25617.0,192.0,0.0075,180999,0.1663,122610429,109948111.0,12662318.0,0.1152,766781951,0.1903,ig
August,2020-08-01,848,25780,25809.0,-29.0,-0.0011,206779,0.1424,114937655,122610429.0,-7672774.0,-0.0626,881719606,0.1499,ig
September,2020-09-01,832,24331,25780.0,-1449.0,-0.0562,231110,0.1177,108236293,114937655.0,-6701362.0,-0.0583,989955899,0.1228,ig
October,2020-10-01,845,24357,24331.0,26.0,0.0011,255467,0.1054,108917721,108236293.0,681428.0,0.0063,1098873620,0.11,ig
November,2020-11-01,850,24968,24357.0,611.0,0.0251,280435,0.0977,110057407,108917721.0,1139686.0,0.0105,1208931027,0.1002,ig
December,2020-12-01,838,24786,24968.0,-182.0,-0.0073,305221,0.0884,109109652,110057407.0,-947755.0,-0.0086,1318040679,0.0903,ig
January,2020-01-01,216,14268,0.0,0.0,0.0,14268,0.0,11601032,0.0,0.0,0.0,11601032,0.0,twitter
February,2020-02-01,211,14603,14268.0,335.0,0.0235,28871,1.0235,10267311,11601032.0,-1333721.0,-0.115,21868343,0.885,twitter
March,2020-03-01,214,17123,14603.0,2520.0,0.1726,45994,0.5931,13277997,10267311.0,3010686.0,0.2932,35146340,0.6072,twitter
April,2020-04-01,217,15263,17123.0,-1860.0,-0.1086,61257,0.3318,12016012,13277997.0,-1261985.0,-0.095,47162352,0.3419,twitter
May,2020-05-01,213,14282,15263.0,-981.0,-0.0643,75539,0.2331,10702927,12016012.0,-1313085.0,-0.1093,57865279,0.2269,twitter
June,2020-06-01,206,13122,14282.0,-1160.0,-0.0812,88661,0.1737,10640015,10702927.0,-62912.0,-0.0059,68505294,0.1839,twitter
July,2020-07-01,211,13035,13122.0,-87.0,-0.0066,101696,0.147,11221436,10640015.0,581421.0,0.0546,79726730,0.1638,twitter
